163.218.0.0/16
163.49.0.0/16
220.100.0.0/17
220.100.192.0/18
160.13.0.0/16
202.141.192.0/20
220.156.0.0/18
220.156.64.0/19
220.156.96.0/19
220.156.128.0/19
58.138.0.0/17
125.30.0.0/16
124.41.0.0/17
124.41.128.0/18
58.138.128.0/18
124.147.64.0/18
121.102.0.0/16
116.118.192.0/20
121.200.200.0/21
119.10.192.0/18
113.197.128.0/17
118.151.0.0/17
118.151.128.0/18
49.239.64.0/18
101.128.128.0/17
103.2.57.0/24
103.2.58.0/23
157.65.8.0/21
157.65.176.0/21
157.65.192.0/21
157.65.216.0/21
172.122.0.0/15
